Date,Open,tomo prediction,Dividends,Pos,prediction,last
2018-09-04,94.27703214805464,1,0.0,0,1.0,1.0
2018-09-05,94.45903917197359,1,0.0,1,1.0,1.0
2018-09-06,94.34072961039853,1,0.0,0,1.0,1.0
2018-09-07,94.42264455466714,1,0.0,1,1.0,1.0
2018-09-10,94.59554677591517,1,0.0,1,1.0,1.0
2018-09-11,94.34983565045395,1,0.0,0,1.0,1.0
2018-09-12,94.36802325716222,1,0.0,0,1.0,1.0
2018-09-13,93.90393745303335,1,0.0,1,1.0,1.0
2018-09-14,93.74012513646952,1,0.0,1,1.0,1.0
2018-09-17,93.75832831037745,1,0.0,1,1.0,1.0
2018-09-18,94.07683745151384,1,0.0,1,1.0,1.0
2018-09-19,94.61373034709,1,0.0,1,1.0,1.0
2018-09-20,94.67744870551228,1,0.0,0,1.0,1.0
2018-09-21,95.39635862696306,1,0.0,1,1.0,1.0
2018-09-24,94.83214065330748,1,0.0,1,1.0,1.0
2018-09-25,95.09604905781765,1,0.0,0,1.0,1.0
2018-09-26,95.077853483476,1,0.0,1,1.0,1.0
2018-09-27,95.09605250541136,1,0.0,0,1.0,1.0
2018-09-28,95.16883851225944,1,0.0,1,1.0,1.0
2018-10-01,95.20523729219592,1,0.0,0,1.0,1.0
2018-10-02,94.06774320232094,1,0.0,1,1.0,1.0
2018-10-03,93.74013137066403,1,0.0,1,1.0,1.0
2018-10-04,93.7219322714088,1,0.0,0,1.0,1.0
2018-10-05,94.02223261598905,1,0.0,0,1.0,1.0
2018-10-09,93.28512505830535,1,0.0,0,1.0,1.0
2018-10-10,92.95751910020115,0,0.0,0,1.0,1.0
2018-10-11,90.91909603750952,1,0.0,1,0.0,1.0
2018-10-12,91.00099850995869,0,0.0,0,1.0,0.0
2018-10-15,90.10008955021814,1,0.0,1,0.0,1.0
2018-10-16,89.9544917550852,1,0.0,1,1.0,0.0
2018-10-17,90.72799471138133,1,0.0,0,1.0,1.0
2018-10-18,91.08289711332708,1,0.0,1,1.0,1.0
2018-10-19,90.19109745043205,1,0.0,0,1.0,1.0
2018-10-22,90.17289032683935,1,0.0,1,1.0,1.0
2018-10-23,88.54397195171076,1,0.0,0,1.0,1.0
2018-10-24,89.34239924936487,1,0.98,1,1.0,1.0
2018-10-25,87.85336758928133,1,0.0,0,1.0,1.0
2018-10-26,86.67684284041107,1,0.0,0,1.0,1.0
2018-10-29,87.50408146916496,0,0.0,1,1.0,1.0
2018-10-30,86.5481475604238,1,0.0,1,0.0,1.0
2018-10-31,88.34049811096668,1,0.0,0,1.0,0.0
2018-11-01,88.61626647893878,1,0.0,0,1.0,1.0
2018-11-02,88.58868927532117,1,0.0,0,1.0,1.0
2018-11-05,87.92689543757449,1,0.0,0,1.0,1.0
2018-11-06,87.81658935546875,1,0.0,1,1.0,1.0
2018-11-07,88.14749039486135,1,0.0,1,1.0,1.0
2018-11-08,88.2853672735441,1,0.0,0,1.0,1.0
2018-11-09,88.50596915762213,1,0.0,0,1.0,1.0
2018-11-12,88.11073492443407,1,0.0,1,1.0,1.0
2018-11-13,87.69710945265791,1,0.0,0,1.0,1.0
2018-11-14,88.23939486174305,1,0.0,1,1.0,1.0
2018-11-15,87.45811388955292,1,0.0,0,1.0,1.0
2018-11-16,87.3478135368948,1,0.0,0,1.0,1.0
2018-11-19,87.50407888884729,1,0.0,0,1.0,1.0
2018-11-20,86.49300434494394,1,0.0,1,1.0,1.0
2018-11-21,86.41028647916971,1,0.0,1,1.0,1.0
2018-11-23,87.08125803910679,1,0.0,0,1.0,1.0
2018-11-26,87.86254879191947,1,0.0,1,1.0,1.0
2018-11-27,86.86066299591765,1,0.0,1,1.0,1.0
2018-11-28,89.21371941744034,0,0.0,0,1.0,1.0
2018-11-29,90.07772638738652,1,0.0,0,0.0,1.0
2018-11-30,89.75601905820925,1,0.0,1,1.0,0.0
2018-12-03,90.39942749675865,0,0.0,0,1.0,1.0
2018-12-04,88.88281235240858,0,0.0,0,0.0,1.0
2018-12-06,88.6897908743315,1,0.0,0,0.0,0.0
2018-12-07,88.10153518306646,1,0.0,0,1.0,0.0
2018-12-10,86.90663810408991,1,0.0,0,1.0,1.0
2018-12-11,87.59599395704954,1,0.0,1,1.0,1.0
2018-12-12,86.88824811693722,0,0.0,0,1.0,1.0
2018-12-13,87.09046375883696,1,0.0,1,0.0,1.0
2018-12-14,86.29077288223644,1,0.0,0,1.0,0.0
2018-12-17,86.4010933452749,1,0.0,1,1.0,1.0
2018-12-18,85.94150369342394,1,0.0,0,1.0,1.0
